created_at,full_text,sentiment
2020-12-31T16:19:19+00:00,"Terimakasih 2020, terimakasih covid-19. Tetap semangat menunggu bansos cair di 2021. menteri baru kan yak? ðŸ˜",1
2020-12-31T06:02:42+00:00,"@LisaAmartatara3 Semangat mak....tapi janji nanti klo udah sembuh jgn jadi kadrun dan mak pepes ya.... krn semenjak sandiaga jadi menteri terkena covid,
 mungkin kala itu si mak lagi galau dan badan tdk stabil akhirnya si virus gampang nyerang",0
2020-12-31T04:43:24+00:00,Ex menteri Sosial yg tertangkap karena kasus suap bansos untuk korban covid-19 yang buka suara anak presiden di suatu negara entah berantah yang sempat disebut ikut andil alih dalam â€˜suap bansosâ€™.,0
2020-12-31T01:08:43+00:00,"@tomlembong Jgn panik, tinggal minta @mohmahfudmd konferensi pers bahwa COVID-19 dibubarkan oleh negara sesuai SKB menteri krn tidak memiliki LEGAL STANDING",2
2020-12-30T23:36:39+00:00,"@budhiomiyage @susipudjiastuti Kalo kata menteri yg selalu eksis itu adalah duit jadi gak usah panik masalah covid.
 
 Bikin peraturan gak tegas udah tau kebanyakan rakyatnya ndablek2 masalah protokol kesehatan..
 
 Mau sampe kapan begini ðŸ¤”",0
2020-12-30T14:49:41+00:00,"menteri yg korupsi dana bansos saat covid kapan dihukum mati? @mohmahfudmd
 #FPI_FrontPersatuanIslam",0
2020-12-30T13:44:10+00:00,"FPI dilarang
 Disampaikan oleh 11 menteri langsung,
 Bukti negara lebih suka perang lawan FPI dripada Covid-19",0
2020-12-30T00:35:51+00:00,"@KemensetnegRI pak menteri @KemenkesRI @satgascovid19id
 Ø§Ù Ù†Ù’ Ø´ÙŽØ¢Ø¡ÙŽØ§Ù„Ù„Ù‘Ù‡Ù
 saya siap untuk di vaksin.. semoga covid-19 selesai dari bumi ini...",1
2020-12-29T23:17:12+00:00,"@VIVAcoid - Utang negara makin meroket
 - PHK dimana2, pekerjaan sulit didapat 
 - Covid makin merajalela krn aturan tdk jelas
 - 2 menteri kena ott KPK
 - Djoko taipan hny vonis 2 tahun
 - Harun masiku entah dimana
 Yg diributin HRS, 
 Aparat dan pemerintah ngapain aja",0
2020-12-29T21:43:26+00:00,@detikcom Bagaimana dgnn warga Indonesia yang dari luar negeri dia mau pulang pada hal dia positif covid baru itu. Apakah di larang juga. Kalau tdk dilarang virus itu masuk juga seperti dulu covid lama masuk. Bu menteri luar negeri,0
2020-12-29T19:25:11+00:00,"@cocachele kalo kobam nyelesain masalah, dokter di dunia ini juga udh kobam biar covid ilang, para menteri kobam tiap hari biar kemiskinan ilang. gimana?",2
2020-12-29T14:16:32+00:00,"Kemarin2 tuh ada menteri yg bilang kalo penyebaran covid gegara rakyat miskin, tapi pada faktanya malah rakyat miskin yg dirugikan liat aja nih sekarang banyak bgt orang2 berduit yang mulai berlibur kesana kemari dengan embel2 tetep dengan protokol covidðŸ˜•ðŸ˜¬",0
